# Age =     0.037774
# [Fe/H]_init  =     0.133103
# ranom =     0.000000
# Mass         Radius         logL           logg           Teff           [Fe/H]_surf    Radius_0       Teff_0         logg_0         Xc             
     0.72926235     0.65113318    -0.81881428     4.67333603  4467.75390625     0.12940696     0.65113318  4467.75390625     4.67333603     0.70640045
     0.72994626     0.65172482    -0.81702965     4.67295599  4470.30810547     0.12940650     0.65172482  4470.30810547     4.67295599     0.70639974
     0.73063022     0.65231544    -0.81524330     4.67257452  4472.88574219     0.12940638     0.65231544  4472.88574219     4.67257452     0.70639879
     0.73131412     0.65290505    -0.81345510     4.67219496  4475.47705078     0.12940672     0.65290505  4475.47705078     4.67219496     0.70639759
     0.73199809     0.65349478    -0.81166464     4.67181492  4478.08203125     0.12940718     0.65349478  4478.08203125     4.67181492     0.70639664
     0.73268199     0.65408510    -0.80987209     4.67143631  4480.68896484     0.12940764     0.65408510  4480.68896484     4.67143631     0.70639580
     0.73336589     0.65467620    -0.80807644     4.67105770  4483.29199219     0.12940782     0.65467620  4483.29199219     4.67105770     0.70639509
     0.73404986     0.65526783    -0.80627930     4.67067957  4485.89160156     0.12940766     0.65526783  4485.89160156     4.67067957     0.70639426
     0.73473376     0.65585887    -0.80448264     4.67030191  4488.48583984     0.12940735     0.65585887  4488.48583984     4.67030191     0.70639372
     0.73541772     0.65644914    -0.80268764     4.66992521  4491.09863281     0.12940700     0.65644914  4491.09863281     4.66992521     0.70639372
     0.73610163     0.65703809    -0.80089521     4.66954994  4493.72753906     0.12940663     0.65703809  4493.72753906     4.66954994     0.70639461
     0.73678553     0.65762621    -0.79910386     4.66917467  4496.36523438     0.12940639     0.65762621  4496.36523438     4.66917467     0.70639670
     0.73746949     0.65821391    -0.79731125     4.66879988  4499.01953125     0.12940630     0.65821391  4499.01953125     4.66879988     0.70639956
     0.73815340     0.65880084    -0.79551655     4.66842651  4501.68554688     0.12940653     0.65880084  4501.68554688     4.66842651     0.70640314
     0.73883736     0.65938717    -0.79371965     4.66805553  4504.33789062     0.12940721     0.65938717  4504.33789062     4.66805553     0.70640665
     0.73952127     0.65997273    -0.79192269     4.66768694  4506.97949219     0.12940846     0.65997273  4506.97949219     4.66768694     0.70641059
     0.74020517     0.66055810    -0.79012805     4.66731930  4509.62792969     0.12941049     0.66055810  4509.62792969     4.66731930     0.70641512
     0.74088913     0.66114414    -0.78833669     4.66695404  4512.27539062     0.12941338     0.66114414  4512.27539062     4.66695404     0.70642072
